,Country,2020-01-31_recovery,2020-02-29_recovery,2020-03-31_recovery,2020-04-30_recovery,2020-05-31_recovery,2020-06-30_recovery,2020-07-31_recovery,2020-08-31_recovery,2020-09-30_recovery,2020-10-31_recovery,2020-11-30_recovery,2020-12-31_recovery,2021-01-31_recovery,2020-01-31_cases,2020-02-29_cases,2020-03-31_cases,2020-04-30_cases,2020-05-31_cases,2020-06-30_cases,2020-07-31_cases,2020-08-31_cases,2020-09-30_cases,2020-10-31_cases,2020-11-30_cases,2020-12-31_cases,2021-01-31_cases,2020-01-31_deaths,2020-02-29_deaths,2020-03-31_deaths,2020-04-30_deaths,2020-05-31_deaths,2020-06-30_deaths,2020-07-31_deaths,2020-08-31_deaths,2020-09-30_deaths,2020-10-31_deaths,2020-11-30_deaths,2020-12-31_deaths,2021-01-31_deaths,Country_clean_deaths,Country_Binned_deaths
102,Kuwait,0,0,73,1539,11386,37030,57932,77224,96688,116862,137071,146517,157931,0,45,289,4024,27043,46195,66957,85109,105182,125926,142635,150584,165257,0,0,0,26,212,354,447,531,610,779,880,934,959,Kuwait,Asia
103,Kyrgyzstan,0,0,3,462,1170,2443,25037,38459,42879,49983,64711,75918,80987,0,0,107,746,1748,5506,35805,43898,46669,58878,73178,81034,84588,0,0,0,8,16,61,1378,1058,1064,1144,1275,1355,1412,Kyrgyzstan,Asia
104,Laos,0,0,0,8,16,19,19,21,22,22,26,40,41,0,0,9,19,19,19,20,22,23,24,39,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Laos,Asia
105,Latvia,0,0,1,348,745,974,1052,1163,1307,1406,1795,27113,54686,0,0,398,858,1066,1118,1231,1396,1824,5894,17075,40904,66241,0,0,0,15,24,30,32,34,37,71,206,635,1195,Latvia,Europe
106,Lebanon,0,0,37,150,712,1183,1761,4811,17565,41624,83034,127959,180877,0,4,470,725,1220,1778,4555,17308,39634,81228,127944,181503,301052,0,0,12,24,27,34,61,167,367,637,1018,1468,3082,Lebanon,Asia
107,Lesotho,0,0,0,0,1,4,144,528,873,975,1278,1480,2552,0,0,0,0,2,27,604,1085,1595,1953,2109,3094,8664,0,0,0,0,0,0,13,31,36,44,44,51,172,Lesotho,Africa
108,Liberia,0,0,0,45,157,324,670,872,1221,1279,1343,1406,1760,0,0,3,141,288,780,1186,1304,1343,1426,1595,1779,1939,0,0,0,16,27,36,75,82,82,82,83,83,84,Liberia,Africa
109,Libya,0,0,1,18,52,209,618,1459,19361,35030,53818,72107,98706,0,0,10,61,156,824,3621,13966,34525,61095,82809,100277,118631,0,0,0,3,5,24,74,237,551,857,1183,1478,1877,Libya,Africa
110,Liechtenstein,0,0,0,55,55,81,85,97,113,347,1088,1810,2352,0,0,68,82,82,82,88,107,118,533,1270,2136,2493,0,0,0,1,1,1,1,1,1,3,16,39,52,Liechtenstein,Europe
111,Lithuania,0,0,0,577,1279,1525,1655,1964,2845,5485,28028,96800,162392,0,1,468,1375,1667,1812,2069,2900,4688,14815,61311,141955,182543,0,0,4,32,54,61,63,69,77,152,620,1796,2808,Lithuania,Europe
112,Luxembourg,0,0,80,3213,3833,3998,5192,7140,7174,10081,26086,40978,47615,0,1,2178,3784,4018,4299,6695,6625,8509,17134,34678,46415,50388,0,0,23,90,110,110,114,124,124,152,321,495,577,Luxembourg,Europe
113,Macau,0,8,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macau,Asia
114,Macedonia,0,0,12,738,1552,2475,6554,11157,14959,20731,38946,61447,81681,0,1,329,1465,2226,6334,10754,14341,17977,31572,61878,83329,92693,0,0,9,77,133,302,486,603,739,994,1763,2503,2855,Macedonia,Europe
115,Madagascar,0,0,0,92,168,994,7807,13832,15301,16409,16657,17228,18215,0,0,57,128,771,2214,10868,14863,16408,17111,17341,17714,19065,0,0,0,0,6,20,106,192,230,244,251,261,281,Madagascar,Africa
116,Malawi,0,0,0,7,42,260,1875,3160,4263,5323,5455,5705,8615,0,0,0,37,284,1224,4078,5566,5773,5930,6028,6583,23963,0,0,0,3,4,14,114,175,179,184,185,189,702,Malawi,Africa
117,Malaysia,0,18,537,4171,6353,8354,8644,9054,9967,21248,54759,88941,166049,8,25,2766,6002,7819,8639,8976,9340,11224,31548,65697,113010,214959,0,0,43,102,115,121,125,127,136,249,360,471,760,Malaysia,Asia
118,Maldives,0,0,13,17,453,1944,2607,5155,9108,10814,11939,13141,14139,0,0,18,468,1773,2361,3793,7804,10291,11659,13011,13757,15841,0,0,0,1,5,9,16,28,34,38,46,48,52,Maldives,Asia
119,Mali,0,0,0,135,716,1474,1937,2169,2453,2753,3206,4650,5945,0,0,28,490,1265,2181,2535,2776,3118,3554,4710,7090,8091,0,0,2,26,77,116,124,126,131,136,156,269,330,Mali,Africa
120,Malta,0,0,2,351,534,640,665,1400,2562,4155,7665,11121,14960,0,0,169,465,618,670,824,1883,3058,6042,9873,12774,17903,0,0,0,4,9,9,9,12,35,62,137,219,267,Malta,Europe
121,Marshall Islands,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Marshall Islands,Australia
122,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Martinique,North America
123,Mauritania,0,0,2,6,27,1622,4962,6464,7120,7433,7732,11380,15676,0,0,6,8,530,4363,6310,7048,7502,7703,8601,14364,16635,0,0,1,1,23,129,157,159,161,163,177,347,422,Mauritania,Africa
124,Mauritius,0,0,0,310,322,326,332,335,344,398,456,496,528,0,0,143,332,335,341,344,356,381,441,504,527,569,0,0,5,10,10,10,10,10,10,10,10,10,10,Mauritius,Africa
125,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mayotte,Africa
126,Mexico,0,0,35,11423,63772,174538,327115,496222,628007,779371,823586,1074795,1412393,0,4,1094,19224,90664,226089,424637,599560,743216,924962,1113543,1426094,1864260,0,0,28,1859,9930,27769,46688,64414,77646,91753,105940,125807,158536,Mexico,North America
127,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Micronesia,Australia
128,Moldova,0,0,18,1182,4581,9382,17269,25872,38997,55782,95354,130643,150090,0,0,353,3897,8251,16613,24733,36920,53042,76040,107364,144818,159804,0,0,4,116,295,545,778,995,1320,1785,2304,2985,3438,Moldova,Europe
129,Monaco,0,0,2,64,90,95,105,116,181,273,556,708,1257,0,1,52,95,99,103,120,154,218,359,609,875,1489,0,0,1,4,4,4,4,4,2,2,3,3,13,Monaco,Europe
130,Mongolia,0,0,2,10,44,176,230,295,307,313,358,837,1358,0,0,12,38,179,220,291,304,313,346,801,1220,1814,0,0,0,0,0,0,0,0,0,0,0,1,2,Mongolia,Asia
131,Montenegro,0,0,0,214,315,315,1005,4021,7192,14084,24131,38580,53527,0,0,109,322,324,548,3073,4835,10772,18341,35265,48247,61659,0,0,2,7,9,12,48,100,169,301,499,682,805,Montenegro,Europe
132,Morocco,0,0,24,984,5459,8920,17658,47595,102715,181275,305291,407504,449160,0,0,617,4423,7807,12533,24322,62590,123653,219084,356336,439193,471157,0,0,36,170,205,228,353,1141,2194,3695,5846,7388,8275,Morocco,Africa
133,Mozambique,0,0,0,12,91,232,641,2170,5232,10437,13729,16663,23955,0,0,8,76,254,889,1864,3916,8728,12869,15701,18642,38654,0,0,0,0,2,6,11,23,61,92,131,166,367,Mozambique,Africa
134,Namibia,0,0,2,8,14,24,166,3327,9014,11036,13535,20076,32378,0,0,11,16,24,205,2129,7550,11265,12935,14380,23941,33944,0,0,0,0,0,0,10,75,121,133,151,205,352,Namibia,Africa
135,Nepal,0,1,1,16,220,3194,14399,21410,56428,131222,214521,252359,266336,1,1,5,57,1572,13564,19771,39460,77817,170743,233452,260593,270959,0,0,0,0,8,29,56,228,498,937,1508,1856,2029,Nepal,Asia
136,Netherlands,0,0,253,125,178,186,200,1010,4019,5882,6947,9585,12910,0,6,12667,39512,46645,50483,54590,73232,125988,357640,531930,808382,992075,0,0,1040,4811,5975,6132,6166,6252,6457,7459,9453,11525,14108,Netherlands,Europe
137,New Zealand,0,0,74,1252,1481,1484,1518,1598,1770,1857,1962,2082,2208,0,1,647,1479,1504,1528,1562,1752,1848,1959,2059,2162,2304,0,0,1,19,22,22,22,22,25,25,25,25,25,New Zealand,Australia
138,Nicaragua,0,0,0,7,370,1238,2492,2913,2913,4225,4225,4225,4225,0,0,5,14,759,2519,3672,4494,5170,5514,5784,6046,6253,0,0,1,3,35,83,116,137,151,156,160,165,169,Nicaragua,North America
139,Niger,0,0,0,452,839,943,1028,1088,1114,1137,1210,1825,3755,0,0,27,719,958,1075,1134,1176,1197,1220,1548,3323,4517,0,0,3,32,64,67,69,69,69,69,72,104,159,Niger,Africa
140,Nigeria,0,0,8,319,3007,9746,19565,41638,50358,58675,63282,73713,104989,0,1,135,1932,10162,25694,43151,54008,58848,62853,67557,87607,131242,0,0,2,58,287,590,879,1013,1112,1144,1173,1289,1586,Nigeria,Africa
141,North Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,Europe
142,Norway,0,0,13,32,7727,8138,8752,9348,11190,11863,17998,17998,17998,0,15,4641,7738,8440,8879,9240,10782,14027,20331,36150,49567,62966,0,0,39,210,236,250,255,264,274,282,332,436,564,Norway,Europe
143,Oman,0,1,34,495,2682,23425,61421,80810,88528,103060,115216,121890,126854,0,6,192,2348,11437,40070,79159,85722,98585,114434,123699,128867,134326,0,0,1,11,49,176,421,685,935,1208,1423,1499,1529,Oman,Asia
144,Pakistan,0,0,76,4315,25271,100802,247177,280682,297497,314555,343286,437229,501252,0,4,1938,16817,69496,213470,278305,295849,312806,333970,400482,482178,546428,0,0,26,385,1483,4395,5951,6294,6484,6823,8091,10176,11683,Pakistan,Asia
145,Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palestine,Asia
146,Panama,0,0,9,576,9514,15745,39166,66173,89061,110552,144462,195138,276417,0,0,1181,6532,13463,33550,65256,92982,112595,133598,165806,246790,320379,0,0,30,188,336,631,1421,2002,2372,2700,3079,4022,5270,Panama,North America
147,Papua New Guinea,0,0,0,0,8,8,11,232,516,575,597,661,812,0,0,1,8,8,11,72,459,534,589,656,780,851,0,0,0,0,0,0,2,5,7,7,7,9,9,Papua New Guinea,Australia
148,Paraguay,0,0,1,113,477,1089,3548,9421,24449,42900,58453,81977,108426,0,0,65,266,986,2221,5338,17662,40758,63185,82424,107932,133227,0,0,3,10,11,17,49,326,857,1404,1756,2262,2718,Paraguay,South America
149,Peru,0,0,394,10405,67208,174535,283915,455457,676925,822316,893061,951318,1052050,0,0,1065,36976,164476,285213,407492,647166,811768,900180,962530,1015137,1138239,0,0,30,1051,4506,9677,19021,28788,32396,34411,35923,37680,41026,Peru,South America
150,Philippines,0,1,49,1043,3909,10233,65178,157562,253488,331046,398658,439796,487551,1,3,2084,8488,18086,37514,93354,220819,311694,380729,431630,474064,525618,0,1,88,568,957,1266,2023,3558,5504,7221,8392,9244,10749,Philippines,Asia
151,Poland,0,0,7,3236,11271,21281,33987,46638,69695,140280,577514,1036138,1270467,0,0,2311,12877,23786,34393,45688,67372,91514,362731,990811,1294878,1513385,0,0,33,644,1064,1463,1716,2039,2513,5631,17150,28554,37180,Poland,Europe
152,Portugal,0,0,43,1519,19409,27505,36483,41961,48530,80280,212942,334276,526411,0,0,7443,25045,32500,42141,51072,58012,75542,141279,298061,413678,720516,0,0,160,989,1410,1576,1735,1822,1971,2507,4505,6906,12482,Portugal,Europe
153,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puerto Rico,North America
154,Qatar,0,0,62,1372,30290,81564,107377,115667,122699,129583,136090,141422,145806,0,1,781,13409,56910,96088,110695,118778,125760,132556,138833,143834,151335,0,0,2,10,38,113,174,197,214,232,237,245,248,Qatar,Asia
155,Romania,0,0,220,4017,13256,19050,27007,37869,102476,172513,353188,560793,674594,0,3,2245,12240,19257,26970,50886,87540,127572,241339,475362,632263,728743,0,0,82,717,1266,1651,2343,3621,4825,6968,11331,15767,18335,Romania,Europe
156,Russia,0,2,121,11619,171883,411973,637217,807339,954788,1208440,1763493,2527722,3264611,2,2,2337,106498,405843,646929,838461,992402,1170799,1606267,2275936,3127347,3808348,0,0,17,1073,4693,9306,13939,17128,20630,27787,39491,56271,72029,Russia,Europe
157,Rwanda,0,0,0,104,256,447,1106,2013,3154,4879,5516,6542,10087,0,0,75,243,370,1025,2022,4063,4840,5137,5934,8383,15304,0,0,0,0,1,2,5,16,29,35,49,92,196,Rwanda,Africa
158,Saint Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Europe
159,Saint Kitts and Nevis,0,0,0,6,15,15,16,17,17,19,19,29,35,0,0,8,15,15,15,17,17,19,19,22,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Kitts and Nevis,North America
160,Saint Lucia,0,0,1,15,18,19,22,25,27,28,131,289,618,0,0,13,17,18,19,25,26,27,78,259,353,1195,0,0,0,0,0,0,0,0,0,0,2,5,13,Saint Lucia,North America
161,Saint Vincent and the Grenadines,0,0,1,8,15,29,44,57,64,70,79,98,251,0,0,1,16,26,29,54,60,64,74,85,121,901,0,0,0,0,0,0,0,0,0,0,0,0,2,Saint Vincent and the Grenadines,North America
162,Samoa,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Samoa,Australia
163,San Marino,0,0,13,78,357,656,657,660,680,721,1299,2042,2723,0,1,236,569,671,698,699,715,732,928,1612,2428,3025,0,0,26,41,42,42,42,42,42,42,46,59,67,San Marino,Europe
164,Sao Tome and Principe,0,0,0,4,68,236,778,851,886,904,933,971,1023,0,0,0,14,483,714,871,896,911,945,991,1014,1257,0,0,0,0,12,13,15,15,15,16,17,17,17,Sao Tome and Principe,Africa
165,Saudi Arabia,0,0,165,3163,62442,130766,235658,290796,319154,333842,346802,353853,359573,0,0,1563,22753,85261,190823,275905,315772,334605,347282,357360,362741,368074,0,0,10,162,503,1649,2866,3897,4768,5402,5896,6223,6375,Saudi Arabia,Asia
166,Senegal,0,0,40,334,1801,4431,6776,9439,12437,14853,15607,17254,21970,0,0,175,933,3645,6793,10232,13611,14982,15616,16089,19140,26523,0,0,0,9,42,112,205,284,311,324,333,410,628,Senegal,Africa
167,Serbia,0,0,0,1343,6698,12662,0,0,0,0,0,0,0,0,0,900,9009,11412,14564,25552,31406,33551,46954,175438,337923,395263,0,0,16,179,243,277,573,713,749,820,1604,3211,4020,Serbia,Europe
168,Seychelles,0,0,0,6,11,11,39,127,140,149,162,214,1015,0,0,10,11,11,81,114,136,144,153,183,256,1205,0,0,0,0,0,0,0,0,0,0,0,0,4,Seychelles,Africa
169,Sierra Leone,0,0,0,21,454,974,1362,1594,1687,1800,1836,1892,2282,0,0,1,124,861,1462,1823,2022,2231,2366,2412,2611,3593,0,0,0,7,46,60,67,70,72,74,74,76,79,Sierra Leone,Africa
170,Singapore,0,72,240,1244,21699,38500,46491,55658,57488,57913,58134,58449,59228,13,102,926,16169,34884,43907,52205,56812,57765,58015,58218,58599,59536,0,0,3,15,23,26,27,27,27,28,29,29,29,Singapore,Asia
171,Slovakia,0,0,3,524,1366,1464,1695,2377,4395,12617,66041,125971,216052,0,0,363,1396,1521,1667,2292,3917,10141,57664,105929,179543,249913,0,0,0,23,28,28,29,33,48,219,839,2138,4642,Slovakia,Europe
172,Slovenia,0,0,10,233,1358,1384,1797,2296,3804,12091,54138,99382,145722,0,0,802,1429,1473,1600,2156,2883,5690,34307,75814,122152,166473,0,0,15,91,108,111,119,133,150,338,1435,2697,3503,Slovenia,Europe
173,Solomon Islands,0,0,0,0,0,0,0,0,0,4,5,5,10,0,0,0,0,0,0,0,0,0,8,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Solomon Islands,Australia
174,Somalia,0,0,1,31,348,910,1562,2481,2946,3185,3417,3612,3666,0,0,5,601,1976,2924,3212,3310,3588,3941,4451,4714,4784,0,0,0,28,78,90,93,98,99,104,113,130,130,Somalia,Africa
175,South Africa,0,0,31,2073,16809,73543,326171,540923,608112,654182,731242,879671,1299620,0,0,1353,5647,32683,151209,493183,627041,674339,725452,790004,1057161,1453761,0,0,5,103,683,2657,8005,14149,16734,19276,21535,28469,44164,South Africa,Africa
176,South Korea,0,27,5408,9072,10422,11613,13233,15198,21666,24357,27885,42953,68309,11,3150,9786,10774,11503,12850,14336,20182,23889,26635,34652,61769,78508,0,16,162,248,271,282,301,324,415,466,526,917,1425,South Korea,Asia
177,South Sudan,0,0,0,0,6,279,1175,1290,1290,1290,2954,3131,3613,0,0,0,35,994,2007,2322,2527,2704,2905,3109,3558,3929,0,0,0,0,10,38,46,47,49,58,61,63,64,South Sudan,Africa
178,Spain,0,2,19259,112050,150376,150376,150376,150376,150376,150376,150376,150376,150376,0,45,95923,213435,239479,249271,288522,462858,769188,1185678,1648187,1928265,2743119,0,0,8464,24543,27127,28355,28445,29094,31791,35878,45069,50837,58319,Spain,Europe
179,Sri Lanka,0,1,17,154,801,1711,2391,2868,3230,4399,17560,35329,57159,1,1,143,663,1633,2047,2815,3049,3380,10663,23987,43299,64157,0,0,2,7,10,11,11,12,13,20,118,204,316,Sri Lanka,Asia
180,St. Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Martin,North America
181,Sudan,0,0,1,39,1423,4014,6119,6612,6764,6764,10302,13524,21410,0,0,7,375,4800,9372,11579,13189,13646,13804,18045,25500,29380,0,0,2,31,286,572,746,823,836,837,1249,1468,1807,Sudan,Africa
182,Suriname,0,0,0,8,9,227,1080,3140,4695,5060,5194,5731,7671,0,0,9,10,23,515,1650,4034,4877,5203,5312,6210,8438,0,0,0,1,1,13,26,71,104,111,117,122,154,Suriname,South America
183,Sweden,0,0,16,1005,4971,0,0,0,0,0,0,0,0,1,12,4435,21092,37542,68451,80422,84379,92863,124355,243129,437379,566957,0,0,180,2586,4395,5333,5743,5808,5893,5938,6681,8727,11591,Sweden,Europe
184,Switzerland,0,0,1823,23400,28500,29200,31100,36100,42700,65200,250200,317600,317600,0,18,16605,29586,30862,31714,35232,42177,53282,154251,327072,452296,521320,0,0,433,1737,1920,1963,1981,2006,2074,2297,4815,7645,9381,Switzerland,Europe
185,Syria,0,0,0,21,46,105,237,629,1103,1976,3560,5350,7562,0,0,10,43,122,279,757,2765,4200,5728,7887,11434,14048,0,0,2,3,5,9,43,112,200,288,417,711,921,Syria,Asia
186,Taiwan,0,9,39,322,423,437,440,462,483,515,565,671,830,10,39,322,429,442,447,467,488,514,555,675,799,911,0,1,5,6,7,7,7,7,7,7,7,7,8,Taiwan,Asia
187,Tajikistan,0,0,0,0,2004,4506,6193,7376,8572,10233,11599,12851,13218,0,0,0,15,3930,5900,7409,8583,9769,11017,12194,13296,13308,0,0,0,0,47,52,60,68,76,82,86,90,90,Tajikistan,Asia
188,Tanzania,0,0,1,167,183,183,183,183,183,183,183,183,183,0,0,19,480,509,509,509,509,509,509,509,509,509,0,0,1,16,21,21,21,21,21,21,21,21,21,Tanzania,Africa
189,Thailand,8,28,342,2687,2963,3056,3125,3252,3379,3592,3811,4273,12514,19,42,1651,2954,3081,3171,3310,3412,3569,3784,4008,7163,19618,0,0,10,54,57,58,58,58,59,59,60,63,77,Thailand,Asia
190,The Gambia,0,0,0,8,20,27,68,1032,2161,3196,3601,3664,3792,0,0,4,11,25,49,498,2963,3579,3672,3742,3797,4090,0,0,1,1,1,2,9,96,112,119,123,124,128,Senegal,Africa
191,Togo,0,0,10,65,211,402,641,1005,1348,1660,2478,3393,4268,0,0,34,116,442,650,941,1400,1784,2331,2974,3633,5074,0,0,1,9,13,14,19,28,48,57,64,68,77,Togo,Africa
192,Trinidad and Tobago,0,0,1,72,108,113,132,676,2560,4610,5771,6650,7168,0,0,87,116,117,130,169,1759,4531,5692,6669,7150,7564,0,0,3,8,8,8,8,22,76,108,120,127,134,Trinidad and Tobago,North America
193,Tunisia,0,0,3,305,960,1031,1195,1573,5032,5032,70851,105364,157446,0,0,394,994,1077,1174,1535,3803,18413,59813,96769,139140,208885,0,0,10,41,48,50,50,77,265,1317,3260,4676,6754,Tunisia,Africa
194,Turkey,0,0,243,48886,127973,173111,214535,244926,279749,323971,404727,2100650,2362415,0,0,13531,120204,163942,199906,230873,270133,318663,375367,638847,2208652,2477463,0,0,214,3174,4540,5131,5691,6370,8195,10252,13746,20881,25993,Turkey,Asia
195,Uganda,0,0,0,52,72,819,1028,1288,4260,7503,8989,11733,14179,0,0,44,83,417,889,1154,2972,8129,12495,20459,35216,39579,0,0,0,0,0,0,3,32,75,111,205,251,324,Uganda,Africa
196,Ukraine,0,0,10,1238,9538,19792,39945,59162,95829,165902,360360,736611,1054177,0,0,645,10406,23672,45254,71404,124132,214446,399330,752343,1086997,1261546,0,0,17,261,708,1173,1717,2605,4221,7399,12731,19281,23860,Ukraine,Europe
197,United Arab Emirates,0,5,61,2429,17932,37566,53909,60931,83724,128902,154899,184442,276958,4,21,664,12481,34557,48667,60506,70231,94190,132629,168860,207822,303609,0,0,6,105,264,315,351,384,419,495,572,669,850,United Arab Emirates,Asia
198,United Kingdom,0,8,179,859,1190,1370,1439,1682,2373,2839,3570,5479,9652,2,23,25481,172481,276156,314160,304793,338083,455846,1014793,1633733,2496231,3828183,0,0,1793,26842,38571,43815,46204,41589,42233,46645,58545,73622,106367,United Kingdom,Europe
199,United States,0,7,7024,153947,444758,720631,1438160,2184825,2840688,3612478,5146319,0,0,6,70,188417,1070402,1791791,2646739,4576186,6043650,7253954,9186169,13655181,20061049,26186781,0,1,3868,63391,104816,127613,153863,184207,207666,232027,271710,352752,447772,United States,North America
200,Uruguay,0,0,41,417,685,824,994,1409,1791,2560,4357,13468,34683,0,0,338,643,823,936,1264,1595,2046,3124,5857,19119,41738,0,0,1,17,22,27,35,44,48,58,77,181,436,Uruguay,South America
201,Uzbekistan,0,0,7,1133,2837,5682,14464,39275,53366,64235,70337,74943,77191,0,0,172,2039,3623,8503,24009,41893,56717,66932,73094,77060,78711,0,0,2,9,15,26,141,320,470,566,610,614,621,Uzbekistan,Asia
202,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,Australia
203,Vatican City,0,0,0,2,2,12,12,12,12,15,15,15,15,0,0,6,11,12,12,12,12,12,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy,Europe
204,Venezuela,0,0,39,142,302,1649,10421,38112,65225,86773,97326,107583,118887,0,0,135,333,1510,5832,18574,46728,75122,92013,102394,113558,126927,0,0,3,16,14,51,164,386,628,798,897,1028,1189,Venezuela,South America
205,Vietnam,0,16,58,219,279,335,373,707,1010,1062,1179,1325,1457,2,16,212,270,328,355,558,1044,1094,1180,1347,1465,1817,0,0,0,0,0,0,3,34,35,35,35,35,35,Vietnam,Asia
206,West Bank and Gaza,0,0,18,76,372,451,5077,15056,31743,46309,64987,117183,148993,0,0,119,344,448,2428,11837,22729,39899,53520,85647,138004,158962,0,0,1,2,3,8,82,152,311,483,732,1400,1833,Palestine,Asia
207,Yemen,0,0,0,1,14,488,862,1131,1286,1366,1382,1394,1426,0,0,0,6,323,1158,1728,1958,2034,2063,2077,2099,2121,0,0,0,2,80,312,493,566,587,599,605,610,615,Yemen,Asia
208,Zambia,0,0,0,55,779,1329,3803,11469,13959,15680,16998,18660,48000,0,0,35,106,1057,1594,5963,12097,14759,16432,17647,20725,54217,0,0,0,3,7,24,151,288,332,349,357,388,763,Zambia,Africa
209,Zimbabwe,0,0,0,5,29,162,1004,5221,6303,7894,8482,11250,26044,0,0,8,40,178,591,3169,6497,7838,8367,9950,13867,33388,0,0,1,4,4,7,67,202,228,243,276,363,1217,Zimbabwe,Africa
