,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
65,France,0,12,9513,50380,68473,76399,81764,86790,98632,123095,167913,200142,230612,5,100,52278,168861,190975,204244,227239,321160,605893,1414364,2276874,2677666,3255920,0,2,3526,24380,28805,29846,30268,30646,31978,36827,52819,64759,76201,5.794971778,6.472237112,5.447639009,5.924999145,6.021740004,6.185383975,6.011676097,6.248645894,6.594186495,6.795379491,22.48153762,18.16407267,Europe
66,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
67,Gabon,0,0,0,67,722,2420,4943,7264,8005,8698,9066,9388,10260,0,0,16,276,2655,5394,7352,8533,8766,8968,9214,9571,10748,0,0,1,3,17,42,49,53,54,55,60,64,68,10.28905106,10.0751949,8.378016966,8.196407134,8.527868896,8.555205606,5.216778915,6.146943749,3.339691256,3.512500542,4.029685311,3.077313884,Africa
68,Georgia,0,0,21,184,605,794,940,1240,3120,22691,113986,211727,249028,0,1,110,539,783,928,1168,1487,6192,38936,135584,227420,258111,0,0,0,6,12,15,17,19,39,307,1267,2505,3178,5.537491529,6.785699856,5.492346076,6.647223681,7.004383987,7.5849157,6.46636879,6.720528424,6.4325097,6.201623199,18.04302113,11.78894531,Asia
69,Germany,0,16,16100,123500,165352,178100,191992,216795,256861,356410,749219,1350708,1940046,5,79,71808,163009,183410,195418,210399,244802,292913,531790,1069912,1760520,2225659,0,0,775,6623,8540,8990,9147,9303,9495,10483,16694,33791,57163,4.322045004,4.778841922,5.145877616,5.760829051,6.224063818,6.819220243,5.85651803,6.091185229,8.081471979,8.359439954,23.93485974,19.1319838,Europe
70,Ghana,0,0,31,212,2947,13268,32096,42963,45757,47169,50547,53594,61236,0,0,161,2074,8070,17741,35501,44298,46626,48055,51667,54771,67010,0,0,5,17,36,112,182,276,301,320,323,335,416,11.12944524,11.29402755,9.150119066,9.317008221,7.213387858,7.331861018,5.227862415,5.19848553,3.855864494,3.735591511,3.39539889,2.807268979,Africa
71,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,Europe
72,Greece,0,0,52,1374,1374,1374,1374,1347,1347,23074,23074,93764,93764,0,4,1314,2591,2917,3409,4477,10317,18475,39251,105271,138850,156957,0,0,49,140,175,192,206,266,391,626,2406,4838,5796,4.960160752,5.454817801,4.849883704,5.296351342,5.677102202,6.30101624,7.263134051,7.75287325,7.489988622,7.532992771,23.9866925,19.82023219,Europe
73,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,North America
74,Grenada,0,0,0,13,18,23,23,24,24,24,30,107,142,0,0,9,20,23,23,24,24,24,28,41,127,148,0,0,0,0,0,0,0,0,0,0,0,0,1,7.335900389,7.643639457,8.008852742,8.070747528,8.208579243,8.460638713,5.66611487,5.71899479,5.236073125,5.458476589,10.63408666,8.740651473,North America
75,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
76,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.868884115,8.159929889,7.942504043,8.546016557,6.851480847,6.784940251,5.829250042,5.857621659,5.988558739,6.288712294,11.35074465,9.052903348,Australia
77,Guatemala,0,0,12,66,735,3194,36816,62068,80256,97289,110944,126028,144595,0,0,38,599,5087,18096,49789,74074,91746,107939,122062,138012,159504,0,0,1,16,108,773,1924,2760,3246,3729,4171,4813,5643,10.59204446,11.38641678,9.812760732,10.35712677,7.519195707,7.47780299,5.488175453,4.920039954,3.484930717,2.885594028,5.38429188,4.459933371,North America
78,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
79,Guinea,0,0,0,329,2030,4326,6458,8447,9996,10550,12045,13141,14208,0,0,22,1495,3706,5391,7308,9409,10652,12072,13119,13722,14546,0,0,0,7,23,33,46,59,66,72,76,81,82,12.44081342,13.5274871,9.459119226,10.33814866,6.270284297,6.096909298,4.147977395,3.326492136,2.921816861,2.140226968,3.5300373,2.312038047,Africa
80,Guinea-Bissau,0,0,0,19,42,317,803,1127,1549,1818,2327,2397,2427,0,0,8,205,1256,1654,1981,2205,2324,2413,2441,2452,2634,0,0,0,1,8,24,26,34,39,41,44,45,45,11.9797893,12.61685677,9.145423775,9.345239934,7.143802683,6.937433896,4.501789107,4.263241815,2.669710627,2.457334031,3.446551819,2.253044374,Africa
81,Guyana,0,0,0,22,70,114,185,718,1680,3228,4392,5820,6591,0,0,12,82,153,245,413,1306,2894,4162,5406,6332,7641,0,0,2,9,12,12,20,39,80,124,151,164,176,9.005812521,9.162129931,9.622237512,10.33104399,5.650776372,5.568170549,5.861043789,5.765744232,5.400971492,5.406450005,7.362953911,6.06706317,South America
82,Haiti,0,0,1,8,24,931,4606,5828,6829,7429,8023,8624,9098,0,0,15,76,1584,5847,7378,8209,8740,9054,9272,9999,11533,0,0,0,6,35,104,159,201,227,232,232,236,245,10.34112274,10.92672083,9.323768032,9.450327084,8.042106163,7.967869561,5.426990143,5.147225527,3.82269126,3.596842952,5.560808787,4.553425618,North America
83,Honduras,0,0,3,79,537,2060,5554,10396,27922,40129,48073,56694,60873,0,0,141,771,5202,19558,42014,61014,76900,96888,108253,121827,147843,0,0,7,71,212,497,1337,1873,2353,2669,2918,3130,3610,10.3556791,10.79837026,10.07274579,10.42254314,7.82160213,7.909929649,5.840679368,5.637324671,3.928854749,3.588010172,5.309648869,4.345887467,North America
84,Hong Kong,0,33,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
85,Hungary,0,0,37,581,2147,2692,3353,3761,5890,19032,63860,150102,262968,0,0,492,2775,3876,4155,4505,6139,26461,75321,217122,322514,367586,0,0,16,312,526,585,596,615,765,1750,4823,9537,12524,4.662824071,5.405956708,5.163431782,5.977583681,5.875802483,6.746400477,8.083948759,9.020626051,6.284633098,6.647990018,23.34000469,15.67903217,Europe
86,Iceland,0,0,198,1670,1794,1819,1825,1997,2167,3873,5179,5578,5930,0,1,1135,1797,1806,1842,1885,2107,2728,4865,5392,5754,6002,0,0,2,10,10,10,10,10,10,12,26,29,29,6.588589336,6.944134406,6.599252401,6.855430888,6.731355927,6.90360101,6.348077983,6.379016625,6.249740828,6.04711273,15.95076034,14.43693826,Europe
87,India,0,3,123,9068,91852,347979,1094374,2839882,5273201,7491513,8889585,9860280,10434983,1,3,1397,34863,190609,585493,1695988,3691166,6312584,8184082,9462809,10266674,10757610,0,0,35,1154,5408,17400,36511,65288,98678,122111,137621,148738,154392,9.168644121,9.408449617,8.733829192,9.079786217,8.047954586,8.201771099,6.496530341,6.410648112,5.020352157,4.856128284,6.877643252,5.916081749,Asia
88,Indonesia,0,0,81,1522,7308,24806,65907,125959,214947,337801,450518,611097,873221,0,0,1528,10118,26473,56385,108376,174796,287008,410088,538883,743198,1078314,0,0,136,792,1613,2876,5131,7417,10740,13869,16945,22138,29998,8.303097076,8.667843044,8.130997331,8.429289019,7.545252641,7.371468862,7.179198493,7.17533584,5.769186484,5.717743939,6.640327103,5.468553658,Asia
89,Iran,0,123,14656,75103,118848,188758,263519,323233,380956,481930,668151,988833,1210051,0,593,44605,94640,151466,227662,304204,375212,457219,612772,962070,1225142,1417999,0,43,2898,6028,7797,10817,16766,21571,26169,34864,48246,55223,57959,,,,,,,,,,,,,
90,Iraq,0,0,170,1375,3156,24760,87434,176602,292197,399655,482674,537841,592129,0,13,694,2085,6439,49109,124609,234934,362981,472630,552549,595291,619636,0,0,50,93,205,1943,4741,7042,9181,10910,12258,12813,13047,11.17754555,11.51417362,9.389866863,9.575743067,7.173842793,7.286997556,5.321672317,5.309817395,3.55781692,3.216594525,3.799036717,3.007588951,Asia
91,Ireland,0,0,5,13386,22089,23364,23364,23364,23364,23364,23364,23364,23364,0,1,3235,20612,24990,25473,26065,28811,36155,61456,72544,91779,196547,0,0,71,1232,1652,1736,1763,1777,1804,1913,2053,2237,3307,6.957416019,7.354056979,5.667701863,5.936960508,6.583688335,6.540985082,8.137418295,7.874817641,6.23532568,6.272286616,14.95036747,13.48425416,Europe
92,Israel,0,0,210,8924,14675,16735,47225,94369,177829,299869,323681,376322,572511,0,6,5717,15896,17079,25438,71734,116906,247411,314349,337191,423262,643435,0,0,21,225,287,327,564,953,1604,2561,2872,3325,4796,8.191691542,8.74072263,6.96314332,7.414391195,6.514362527,6.694833795,6.310488024,6.299089025,4.832012547,4.716841537,13.45251779,10.95171555,Asia
93,Italy,0,46,15729,75945,157507,190248,199974,207653,227704,289426,757507,1463111,2010548,2,1128,105792,205463,232997,240578,247537,269214,314861,679430,1601554,2107166,2553032,0,29,12428,27967,33415,34767,35141,35483,35894,38618,55576,74159,88516,4.478286363,5.011894524,4.574114294,5.20440643,5.398089109,5.810023307,6.96900842,7.323965366,7.992825257,8.183449767,25.33116395,20.56534674,Europe
94,Ivory Coast,0,0,7,574,1435,4273,11428,16699,19291,20365,20964,21934,26007,0,0,179,1275,2833,9499,16047,18067,19724,20716,21331,22490,28399,0,0,1,14,33,68,102,117,120,126,132,137,154,,,,,,,,,,,,,
95,Jamaica,0,0,2,29,311,553,726,890,1867,4510,6219,10383,12043,0,0,36,422,586,702,878,2459,6482,9094,10763,12827,15653,0,0,1,8,9,10,10,21,107,206,257,302,350,7.566297555,7.920435602,8.751971127,9.219317902,7.698592914,7.908206488,6.323367846,5.707307409,5.89643914,5.577022928,9.116322243,8.72557593,North America
96,Japan,1,32,424,2460,14342,16458,24774,56338,75522,89765,127289,191295,325436,15,241,1953,14088,16751,18615,36234,68396,83591,101327,148962,235811,390166,0,5,56,430,898,972,1008,1298,1575,1769,2076,3292,5753,4.188652689,4.629140677,4.526568322,4.99153273,5.229862233,5.744726701,6.660401683,7.222701549,6.450776012,6.862775989,30.87896841,24.9887434,Asia
97,Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
98,Jordan,0,0,30,362,522,882,1084,1508,4626,7600,155026,270551,314581,0,0,274,453,739,1132,1193,2034,11825,72607,219430,294494,326855,0,0,5,8,9,9,11,15,61,829,2751,3834,4316,11.23285601,11.2059047,9.23820112,9.165036088,7.617627968,7.612783738,5.795731046,5.980405674,4.040467621,4.196792038,4.193660516,3.600806929,Asia
99,Kazakhstan,0,0,24,866,5404,13558,60825,101553,129902,135110,147425,175558,204668,0,0,343,3402,10858,22308,90367,130673,140707,149699,174563,201196,235844,0,0,2,25,40,188,793,1781,2078,2226,2433,2761,3046,7.644450596,8.58654581,5.942853577,6.592080184,8.657320172,8.91018799,6.251396352,6.380852188,5.538421851,5.165163403,9.590339871,5.595675171,Asia
100,Kenya,0,0,1,144,478,2039,8165,19893,24908,35876,55344,78737,83907,0,0,59,396,1962,6366,20636,34201,38529,55192,83618,96458,100773,0,0,1,17,64,148,341,577,711,981,1469,1670,1763,12.43053299,12.79189241,9.581372912,9.69341923,7.536818682,7.489565844,5.05922802,5.001148058,2.963606907,2.849154415,2.794274899,2.048691425,Africa
101,Kosovo,0,0,6,249,829,1577,4578,9595,13554,15429,25001,40989,52439,0,0,112,799,1064,2878,8330,13454,15620,19328,39596,51144,60218,0,0,1,22,30,51,227,525,625,678,1016,1332,1498,,,,,,,,,,,,,
102,Kuwait,0,0,73,1539,11386,37030,57932,77224,96688,116862,137071,146517,157931,0,45,289,4024,27043,46195,66957,85109,105182,125926,142635,150584,165257,0,0,0,26,212,354,447,531,610,779,880,934,959,7.865405694,6.319879987,5.703877442,4.552574954,9.313622324,9.40487036,10.50922676,12.94111909,6.671443569,8.191435611,2.686947012,2.813517463,Asia
103,Kyrgyzstan,0,0,3,462,1170,2443,25037,38459,42879,49983,64711,75918,80987,0,0,107,746,1748,5506,35805,43898,46669,58878,73178,81034,84588,0,0,0,8,16,61,1378,1058,1064,1144,1275,1355,1412,,,,,,,,,,,,,
104,Laos,0,0,0,8,16,19,19,21,22,22,26,40,41,0,0,9,19,19,19,20,22,23,24,39,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
105,Latvia,0,0,1,348,745,974,1052,1163,1307,1406,1795,27113,54686,0,0,398,858,1066,1118,1231,1396,1824,5894,17075,40904,66241,0,0,0,15,24,30,32,34,37,71,206,635,1195,4.823909984,5.937595393,3.655355018,4.630000866,6.706214667,8.229188972,6.136808995,6.980709564,6.364649025,6.700055129,25.26574857,14.56145466,Europe
106,Lebanon,0,0,37,150,712,1183,1761,4811,17565,41624,83034,127959,180877,0,4,470,725,1220,1778,4555,17308,39634,81228,127944,181503,301052,0,0,12,24,27,34,61,167,367,637,1018,1468,3082,7.98244396,8.622667099,8.985977537,8.618666224,8.285955256,6.917134933,6.650270383,6.519453817,5.069099532,6.27635721,7.943283106,6.612459651,Asia
107,Lesotho,0,0,0,0,1,4,144,528,873,975,1278,1480,2552,0,0,0,0,2,27,604,1085,1595,1953,2109,3094,8664,0,0,0,0,0,0,13,31,36,44,44,51,172,9.951518718,10.1356561,9.366457413,9.796706694,7.76619454,8.613055659,5.052895,5.735230127,3.714856176,3.210381471,6.228122856,3.586451184,Africa
108,Liberia,0,0,0,45,157,324,670,872,1221,1279,1343,1406,1760,0,0,3,141,288,780,1186,1304,1343,1426,1595,1779,1939,0,0,0,16,27,36,75,82,82,82,83,83,84,12.22811284,12.55165014,8.998932523,9.069910476,6.658258212,6.648056762,4.811424533,4.793326874,3.163877736,3.016868216,3.661993162,2.913245491,Africa
109,Libya,0,0,1,18,52,209,618,1459,19361,35030,53818,72107,98706,0,0,10,61,156,824,3621,13966,34525,61095,82809,100277,118631,0,0,0,3,5,24,74,237,551,857,1183,1478,1877,8.877130731,9.153049171,7.959976559,8.056958721,8.75572383,8.589737859,8.109372923,8.269865854,5.098165811,5.168848768,4.917083826,4.008684578,Africa
110,Liechtenstein,0,0,0,55,55,81,85,97,113,347,1088,1810,2352,0,0,68,82,82,82,88,107,118,533,1270,2136,2493,0,0,0,1,1,1,1,1,1,3,16,39,52,..,..,..,..,..,..,..,..,..,..,..,..,Europe
111,Lithuania,0,0,0,577,1279,1525,1655,1964,2845,5485,28028,96800,162392,0,1,468,1375,1667,1812,2069,2900,4688,14815,61311,141955,182543,0,0,4,32,54,61,63,69,77,152,620,1796,2808,4.002416472,4.855238285,4.877645882,6.005670294,5.932155393,7.407967398,5.836952872,6.590796387,6.964886991,7.27941044,24.81839377,14.73837758,Europe
112,Luxembourg,0,0,80,3213,3833,3998,5192,7140,7174,10081,26086,40978,47615,0,1,2178,3784,4018,4299,6695,6625,8509,17134,34678,46415,50388,0,0,23,90,110,110,114,124,124,152,321,495,577,5.083054297,5.148339815,6.319676975,6.619523641,7.837962051,7.711741828,7.234915633,7.634277265,7.364257107,8.043135868,15.76029151,12.81926007,Europe
113,Macau,0,8,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
114,Macedonia,0,0,12,738,1552,2475,6554,11157,14959,20731,38946,61447,81681,0,1,329,1465,2226,6334,10754,14341,17977,31572,61878,83329,92693,0,0,9,77,133,302,486,603,739,994,1763,2503,2855,,,,,,,,,,,,,
115,Madagascar,0,0,0,92,168,994,7807,13832,15301,16409,16657,17228,18215,0,0,57,128,771,2214,10868,14863,16408,17111,17341,17714,19065,0,0,0,0,6,20,106,192,230,244,251,261,281,12.03912853,12.23224325,9.63430511,9.628713569,6.551659516,6.566242935,4.721494525,4.721098283,3.12971442,3.00287023,3.293204976,2.793755917,Africa
116,Malawi,0,0,0,7,42,260,1875,3160,4263,5323,5455,5705,8615,0,0,0,37,284,1224,4078,5566,5773,5930,6028,6583,23963,0,0,0,3,4,14,114,175,179,184,185,189,702,13.18773574,13.66084946,9.501760529,9.630791795,6.742944411,6.588749954,4.221308034,4.127343778,2.585871233,2.360178973,3.127525885,2.142885605,Africa
117,Malaysia,0,18,537,4171,6353,8354,8644,9054,9967,21248,54759,88941,166049,8,25,2766,6002,7819,8639,8976,9340,11224,31548,65697,113010,214959,0,0,43,102,115,121,125,127,136,249,360,471,760,7.729632164,7.745925207,8.991870416,9.00358177,9.03444889,9.185629517,6.167013115,6.481753455,5.242047129,5.041720341,7.304034199,6.558419559,Asia
118,Maldives,0,0,13,17,453,1944,2607,5155,9108,10814,11939,13141,14139,0,0,18,468,1773,2361,3793,7804,10291,11659,13011,13757,15841,0,0,0,1,5,9,16,28,34,38,46,48,52,7.928184025,4.80286845,8.112393336,11.78921058,11.35581132,16.09396852,6.471955543,6.739667331,4.682200455,3.254381528,4.718631823,3.002350701,Asia
119,Mali,0,0,0,135,716,1474,1937,2169,2453,2753,3206,4650,5945,0,0,28,490,1265,2181,2535,2776,3118,3554,4710,7090,8091,0,0,2,26,77,116,124,126,131,136,156,269,330,13.38694527,13.78271015,8.628748235,8.745723643,5.799040219,5.778788784,4.133740039,4.015160896,2.48765831,2.239973297,2.799117459,2.192078713,Africa
120,Malta,0,0,2,351,534,640,665,1400,2562,4155,7665,11121,14960,0,0,169,465,618,670,824,1883,3058,6042,9873,12774,17903,0,0,0,4,9,9,9,12,35,62,137,219,267,4.449119739,4.724548539,5.711904697,6.09014281,7.213311839,7.765996476,6.788436843,7.159971556,5.664999954,5.812947555,22.7283077,18.91721736,Europe
121,Marshall Islands,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,Australia
122,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
123,Mauritania,0,0,2,6,27,1622,4962,6464,7120,7433,7732,11380,15676,0,0,6,8,530,4363,6310,7048,7502,7703,8601,14364,16635,0,0,1,1,23,129,157,159,161,163,177,347,422,11.44443631,11.66761964,8.895292732,9.06743996,7.131159724,7.254286498,4.975652826,4.980977999,3.263608351,3.093303543,3.642381608,2.67412845,Africa
124,Mauritius,0,0,0,310,322,326,332,335,344,398,456,496,528,0,0,143,332,335,341,344,356,381,441,504,527,569,0,0,5,10,10,10,10,10,10,10,10,10,10,6.384637287,6.803823462,7.37514762,7.68791539,6.721653527,6.929985597,7.571351441,7.899248929,6.807696916,6.930464088,13.46213391,10.4987312,Africa
125,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
126,Mexico,0,0,35,11423,63772,174538,327115,496222,628007,779371,823586,1074795,1412393,0,4,1094,19224,90664,226089,424637,599560,743216,924962,1113543,1426094,1864260,0,0,28,1859,9930,27769,46688,64414,77646,91753,105940,125807,158536,8.380112016,9.132319135,8.349611251,8.816522204,7.641613895,7.467819899,6.854622657,6.41263689,5.502791868,5.05832271,7.994649738,6.813059027,North America
127,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
128,Moldova,0,0,18,1182,4581,9382,17269,25872,38997,55782,95354,130643,150090,0,0,353,3897,8251,16613,24733,36920,53042,76040,107364,144818,159804,0,0,4,116,295,545,778,995,1320,1785,2304,2985,3438,4.922936625,5.658235321,5.96373153,6.740363537,9.74437283,10.93222998,7.058055201,7.480050035,6.155903126,5.864082219,14.49541894,9.316055748,Europe
129,Monaco,0,0,2,64,90,95,105,116,181,273,556,708,1257,0,1,52,95,99,103,120,154,218,359,609,875,1489,0,0,1,4,4,4,4,4,2,2,3,3,13,..,..,..,..,..,..,..,..,..,..,..,..,Europe
130,Mongolia,0,0,2,10,44,176,230,295,307,313,358,837,1358,0,0,12,38,179,220,291,304,313,346,801,1220,1814,0,0,0,0,0,0,0,0,0,0,0,1,2,8.044169825,8.449480858,7.174263745,7.470948443,9.34239381,9.599655834,6.798782315,6.793435191,5.328289407,4.928323979,4.843037755,3.517068655,Asia
131,Montenegro,0,0,0,214,315,315,1005,4021,7192,14084,24131,38580,53527,0,0,109,322,324,548,3073,4835,10772,18341,35265,48247,61659,0,0,2,7,9,12,48,100,169,301,499,682,805,5.917815813,6.668792229,6.317523513,7.005661726,6.646991011,7.103244382,6.794400942,6.733203223,6.166333839,6.177980458,17.47091174,13.25964716,Europe
132,Morocco,0,0,24,984,5459,8920,17658,47595,102715,181275,305291,407504,449160,0,0,617,4423,7807,12533,24322,62590,123653,219084,356336,439193,471157,0,0,36,170,205,228,353,1141,2194,3695,5846,7388,8275,8.170783325,8.755123442,7.75833311,8.197224538,7.85291541,7.755038492,6.632345057,5.959040766,5.399026253,5.063189135,7.707997675,6.886484616,Africa
133,Mozambique,0,0,0,12,91,232,641,2170,5232,10437,13729,16663,23955,0,0,8,76,254,889,1864,3916,8728,12869,15701,18642,38654,0,0,0,0,2,6,11,23,61,92,131,166,367,12.68901176,13.40821225,9.080880696,9.387298163,6.228271714,6.295859086,4.240428031,3.900588715,2.801662105,2.164256237,3.488004501,2.232790769,Africa
134,Namibia,0,0,2,8,14,24,166,3327,9014,11036,13535,20076,32378,0,0,11,16,24,205,2129,7550,11265,12935,14380,23941,33944,0,0,0,0,0,0,10,75,121,133,151,205,352,10.65544443,11.28788894,9.629358261,9.971609663,7.624865633,7.735126094,5.10320753,5.089249228,3.410849819,2.99554457,4.414690642,2.749693513,Africa
135,Nepal,0,1,1,16,220,3194,14399,21410,56428,131222,214521,252359,266336,1,1,5,57,1572,13564,19771,39460,77817,170743,233452,260593,270959,0,0,0,0,8,29,56,228,498,937,1508,1856,2029,9.522944767,11.45237513,10.76965449,11.35365476,7.969174699,5.411654353,6.128316318,4.635373485,4.256690213,4.2695716,5.79246746,5.770856996,Asia
136,Netherlands,0,0,253,125,178,186,200,1010,4019,5882,6947,9585,12910,0,6,12667,39512,46645,50483,54590,73232,125988,357640,531930,808382,992075,0,0,1040,4811,5975,6132,6166,6252,6457,7459,9453,11525,14108,5.399247846,5.749330433,5.843127147,6.164041934,6.138456318,6.340933207,5.949310953,6.012142337,7.440451777,7.590881092,20.98174752,18.21809818,Europe
137,New Zealand,0,0,74,1252,1481,1484,1518,1598,1770,1857,1962,2082,2208,0,1,647,1479,1504,1528,1562,1752,1848,1959,2059,2162,2304,0,0,1,19,22,22,22,22,25,25,25,25,25,6.355401127,6.940397982,6.576832929,7.209286302,6.588881122,6.657984435,6.056293433,5.734185905,6.724536371,6.377357239,16.80393931,15.1562504,Australia
